,level_0,index,id,playtime_forever,price,total_positive_reviews,total_negative_reviews,pur_rel_itv,genres_vec
0,0,0,0,0.0,3700,372.0,96.0,1665,"[0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,1,1,1,0.016666667,0,23.0,0.0,472,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
2,2,2,2,0.0,5000,3018.0,663.0,1616,"[0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,3,3,3,1.533333333,9900,63078.0,1746.0,2434,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
4,4,4,4,22.33333333,4800,8841.0,523.0,2043,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
5,5,6,6,2.616666667,3600,39776.0,1035.0,1942,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6,6,7,7,0.15,0,33.0,3.0,641,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
7,7,8,8,0.016666667,4000,1875.0,39.0,1732,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
8,8,9,9,0.016666667,8800,47.0,11.0,66,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9,9,10,10,0.0,6800,5893.0,700.0,2686,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
