playtime_forever,is_free,price,genres,categories,tags,purchase_date,release_date,total_positive_reviews,total_negative_reviews,pur_rel_itv,Action,Adventure,Animation,AudioProduction,Casual,Design,EarlyAccess,FreetoPlay,Gore,Illustration,Indie,MassivelyMultiplayer,Modeling,Nudity,RPG,Racing,SexualContent,Simulation,Sports,Strategy,Utilities,Violent
0.0,False,3700,"Adventure,Casual,Indie","Single-player,Steam Trading Cards,Steam Cloud","Indie,Adventure,Story Rich,Casual,Atmospheric,Exploration,First-Person,Stealth,Choices Matter,Singleplayer,Walking Simulator,Short,Drama",2018-07-02,2013-12-10,372.0,96.0,1665,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.016666667,True,0,RPG,"Single-player,Partial Controller Support","Mod,Utilities,RPG,Game Development,Singleplayer,Free to Play",2016-11-26,2015-08-12,23.0,0.0,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.0,False,5000,"Adventure,Casual,Indie","Single-player,Full controller support,Steam Trading Cards,Steam Cloud","Point & Click,Adventure,Story Rich,Comedy,Indie,Funny,Kickstarter,Great Soundtrack,Singleplayer,Puzzle,Casual,Female Protagonist,2D,Masterpiece,Classic,Retro,Cult Classic,Crowdfunded,Episodic,Sci-fi",2018-07-02,2014-01-28,3018.0,663.0,1616,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.533333333,False,9900,"Action,RPG","Single-player,Multi-player,Steam Achievements,Steam Trading Cards,Steam Workshop","Medieval,RPG,Open World,Strategy,Sandbox,Action,Multiplayer,Moddable,Military,Adventure,Horses,Realistic,Singleplayer,First-Person,Historical,Third Person,Simulation,Hack and Slash,Fantasy,Indie",2016-11-28,2010-03-31,63078.0,1746.0,2434,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
22.33333333,False,4800,"Action,Indie,Strategy","Single-player,Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards","Tower Defense,Co-op,Action,Strategy,Online Co-Op,Indie,Third Person,Fantasy,Multiplayer,Funny,Comedy,Third-Person Shooter,Singleplayer,Cartoony,RPG,Shooter,Adventure,Female Protagonist,Great Soundtrack,Controller",2018-03-04,2012-07-30,8841.0,523.0,2043,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2.616666667,False,3600,"Action,Indie","Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support","Great Soundtrack,Action,Violent,Indie,Top-Down,1980s,Fast-Paced,Pixel Graphics,Gore,Psychedelic,Retro,Difficult,Singleplayer,Surreal,Shooter,2D,Addictive,Atmospheric,Music,Top-Down Shooter",2018-02-16,2012-10-23,39776.0,1035.0,1942,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.15,True,0,Simulation,"Single-player,Multi-player,Online Multi-Player,Cross-Platform Multiplayer","VR,Simulation,Utilities,Multiplayer",2018-01-29,2016-04-28,33.0,3.0,641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.016666667,False,4000,"Adventure,RPG","Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","RPG,Turn-Based,Adventure,Fantasy,Great Soundtrack,Anime,Funny,Indie,Singleplayer,Comedy,JRPG,2D,Epic,Strategy,Turn-Based Combat,Action,Casual,Parody,Cats,Cute",2018-11-23,2014-02-25,1875.0,39.0,1732,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.016666667,False,8800,"Action,Adventure","Single-player,Steam Achievements,SteamVR Collectibles,Steam Cloud","Action,Adventure,VR,Shooter,Puzzle,FPS,First-Person",2017-12-22,2017-10-17,47.0,11.0,66,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,False,6800,"Action,Adventure","Single-player,Steam Achievements,Partial Controller Support,Steam Cloud","Action,Adventure,Hack and Slash,Third Person,Singleplayer,Post-apocalyptic,Fantasy,Controller,Action RPG,Puzzle,Action-Adventure,RPG,Open World,Gore,Beat 'em up,Metroidvania,Spectacle fighter,3D Platformer,Character Action Game,Platformer",2018-01-30,2010-09-23,5893.0,700.0,2686,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
